Epoch 1/200, Train Loss: 0.0008748573812408722, Val Loss: 7.201940985396505e-05, L2 Loss: 0.018979888736851767, LInf Loss: 0.1364779567718506
Epoch 16/200, Train Loss: 4.956301988841006e-06, Val Loss: 9.717377870401834e-06, L2 Loss: 0.006981016745072752, LInf Loss: 0.07142595276236534
Epoch 17/200, Train Loss: 5.085365460217872e-06, Val Loss: 3.2973127326840767e-06, L2 Loss: 0.004054958517070853, LInf Loss: 0.06935683816671372
Epoch 18/200, Train Loss: 5.417716465672129e-06, Val Loss: 2.9807170503772794e-05, L2 Loss: 0.012231560667900194, LInf Loss: 0.06731163188815117
Epoch 19/200, Train Loss: 5.063478536158072e-06, Val Loss: 4.196337968096486e-06, L2 Loss: 0.00457982025967652, LInf Loss: 0.0654652900993824
Epoch 20/200, Train Loss: 4.8008555222622815e-06, Val Loss: 4.805915386896231e-06, L2 Loss: 0.004906568676524899, LInf Loss: 0.06404094189405442
Epoch 21/200, Train Loss: 4.24651301045742e-06, Val Loss: 5.2346624306665035e-06, L2 Loss: 0.005120692785005512, LInf Loss: 0.06271181091666221
Epoch 22/200, Train Loss: 4.011383468878194e-06, Val Loss: 2.2331765967464887e-06, L2 Loss: 0.003339364458670121, LInf Loss: 0.06094633132219315
Epoch 23/200, Train Loss: 4.605238998465211e-06, Val Loss: 3.021082779923745e-06, L2 Loss: 0.0038866379116379362, LInf Loss: 0.0614504262804985
Epoch 24/200, Train Loss: 4.260757926317637e-06, Val Loss: 1.620419629034586e-05, L2 Loss: 0.009018063423918185, LInf Loss: 0.0607142972946167
Epoch 25/200, Train Loss: 3.3163287076831693e-06, Val Loss: 7.608662199345417e-06, L2 Loss: 0.00617746503385779, LInf Loss: 0.058339938968420026
Epoch 26/200, Train Loss: 3.6464769067379165e-06, Val Loss: 2.112615893565817e-06, L2 Loss: 0.003242634065930391, LInf Loss: 0.057282711863517764
Epoch 27/200, Train Loss: 4.273576552691339e-06, Val Loss: 3.637040608737152e-06, L2 Loss: 0.004267810058220492, LInf Loss: 0.057846105098724364
Epoch 28/200, Train Loss: 3.661554888481078e-06, Val Loss: 4.9743373438104754e-06, L2 Loss: 0.004992572790022699, LInf Loss: 0.05582970425486564
Epoch 29/200, Train Loss: 4.54812440295882e-06, Val Loss: 3.835686984530185e-06, L2 Loss: 0.0043797029581088606, LInf Loss: 0.05736232370138168
Epoch 30/200, Train Loss: 2.626871658435448e-06, Val Loss: 6.124743958935142e-06, L2 Loss: 0.005535380117114044, LInf Loss: 0.056013573557138444
Epoch 31/200, Train Loss: 2.7505432291263788e-06, Val Loss: 1.0821107553056208e-05, L2 Loss: 0.007369242722274271, LInf Loss: 0.055070404559373856
Epoch 32/200, Train Loss: 3.4779881872282203e-06, Val Loss: 1.6418843210885826e-06, L2 Loss: 0.0028511666458413553, LInf Loss: 0.05403225526213646
Epoch 33/200, Train Loss: 2.788036132415073e-06, Val Loss: 9.078151742869523e-06, L2 Loss: 0.006749356152260138, LInf Loss: 0.05015858143568039
Epoch 34/200, Train Loss: 2.5141542622009182e-06, Val Loss: 2.277605854033027e-06, L2 Loss: 0.003375183000956496, LInf Loss: 0.05121967539191246
Epoch 35/200, Train Loss: 3.4940947642780883e-06, Val Loss: 1.595362937223399e-05, L2 Loss: 0.008947887887226858, LInf Loss: 0.050111555010080334
Epoch 36/200, Train Loss: 3.4294780519417143e-06, Val Loss: 7.476903028873494e-06, L2 Loss: 0.006125411362097455, LInf Loss: 0.04929656758904457
Epoch 37/200, Train Loss: 2.258902559901799e-06, Val Loss: 2.595820942588034e-06, L2 Loss: 0.0036054024631029928, LInf Loss: 0.04675039455294609
Epoch 38/200, Train Loss: 2.1420797332893925e-06, Val Loss: 3.7997156141500454e-06, L2 Loss: 0.0043640153048789656, LInf Loss: 0.04709575772285461
Epoch 39/200, Train Loss: 2.4050549683352075e-06, Val Loss: 2.429664706141921e-05, L2 Loss: 0.011043371473039902, LInf Loss: 0.04702980846166611
Epoch 40/200, Train Loss: 2.6010819919974893e-06, Val Loss: 5.4232513775787085e-06, L2 Loss: 0.005211624595283762, LInf Loss: 0.047793352752923964
Epoch 41/200, Train Loss: 2.7175967377957023e-06, Val Loss: 9.767693572939607e-06, L2 Loss: 0.007000636961128847, LInf Loss: 0.04431122809648514
Epoch 42/200, Train Loss: 2.310710240180924e-06, Val Loss: 2.844689724952332e-06, L2 Loss: 0.0037758735294677968, LInf Loss: 0.042423739656805994
Epoch 43/200, Train Loss: 2.2598736623535843e-06, Val Loss: 1.381671690978692e-06, L2 Loss: 0.0026240485475021325, LInf Loss: 0.040923158079385756
Epoch 44/200, Train Loss: 1.805693319454349e-06, Val Loss: 4.850156019529095e-06, L2 Loss: 0.004924412128276788, LInf Loss: 0.040423333421349524
Epoch 45/200, Train Loss: 2.2979924281685273e-06, Val Loss: 3.454327443250804e-06, L2 Loss: 0.004161687671788285, LInf Loss: 0.037642091959714886
Epoch 46/200, Train Loss: 1.995269717269821e-06, Val Loss: 6.154226082344394e-07, L2 Loss: 0.0017369469317904654, LInf Loss: 0.0368331953138113
Epoch 47/200, Train Loss: 1.8168533983953239e-06, Val Loss: 3.993258915215847e-06, L2 Loss: 0.00447541875148706, LInf Loss: 0.03484088219702244
Epoch 48/200, Train Loss: 2.0471155718837507e-06, Val Loss: 5.0037163327942836e-06, L2 Loss: 0.005009253011057754, LInf Loss: 0.03517259694635868
Epoch 49/200, Train Loss: 2.365081395225843e-06, Val Loss: 3.323060273032752e-06, L2 Loss: 0.004080586368090486, LInf Loss: 0.03583487391471863
Epoch 50/200, Train Loss: 1.962535233417384e-06, Val Loss: 2.263182482238335e-06, L2 Loss: 0.0033663000146003626, LInf Loss: 0.03419367291033268
Epoch 51/200, Train Loss: 1.9407514912472832e-06, Val Loss: 1.2502669505920494e-06, L2 Loss: 0.002502297823209819, LInf Loss: 0.031366182938218114
Epoch 52/200, Train Loss: 1.6744943444280126e-06, Val Loss: 2.0723592206195463e-06, L2 Loss: 0.0032182587989389084, LInf Loss: 0.03429920010268688
Epoch 53/200, Train Loss: 1.6592528697856323e-06, Val Loss: 4.047447737320908e-06, L2 Loss: 0.004506261866619909, LInf Loss: 0.030894570723176
Epoch 54/200, Train Loss: 1.744312627636191e-06, Val Loss: 4.808457624676521e-06, L2 Loss: 0.004911524983534841, LInf Loss: 0.03290520772337913
Epoch 55/200, Train Loss: 2.208551434250694e-06, Val Loss: 1.8478969868738203e-05, L2 Loss: 0.009630665041929123, LInf Loss: 0.037902399376034734
Epoch 56/200, Train Loss: 1.5045739363017674e-06, Val Loss: 5.844880224685766e-06, L2 Loss: 0.005416133128500264, LInf Loss: 0.028824632838368416
Epoch 57/200, Train Loss: 2.2005078628239973e-06, Val Loss: 3.8915338591323235e-05, L2 Loss: 0.013976080086366537, LInf Loss: 0.038323362544178965
Epoch 58/200, Train Loss: 1.9350052323829915e-06, Val Loss: 4.7489495955232995e-06, L2 Loss: 0.004881234532932947, LInf Loss: 0.028995210528373717
Epoch 59/200, Train Loss: 1.5854369979706461e-06, Val Loss: 2.7648045170280965e-06, L2 Loss: 0.0037232080877643726, LInf Loss: 0.02607883419841528
Epoch 60/200, Train Loss: 1.7990316825944318e-06, Val Loss: 1.502669367710041e-06, L2 Loss: 0.00274283127308825, LInf Loss: 0.02568364642560482
Epoch 61/200, Train Loss: 1.3235606027706125e-06, Val Loss: 2.191222838519025e-06, L2 Loss: 0.0033090439934553234, LInf Loss: 0.028369480818510054
Epoch 62/200, Train Loss: 1.445845846035354e-06, Val Loss: 3.3813892332545945e-06, L2 Loss: 0.004118996935581275, LInf Loss: 0.023947124667465687
Epoch 63/200, Train Loss: 1.8639585147184334e-06, Val Loss: 1.6167853891602135e-06, L2 Loss: 0.002846851218236636, LInf Loss: 0.0238081619143486
Epoch 64/200, Train Loss: 1.42336271125032e-06, Val Loss: 6.096315000831965e-06, L2 Loss: 0.005531197340754379, LInf Loss: 0.031127758584916593
Epoch 65/200, Train Loss: 1.2181949789180635e-06, Val Loss: 2.115602387675608e-06, L2 Loss: 0.0032556944677274518, LInf Loss: 0.024951303713023662
Epoch 66/200, Train Loss: 0.004239550034143918, Val Loss: 0.000344308961648494, L2 Loss: 0.04155844186383451, LInf Loss: 0.17415996223688127
Epoch 67/200, Train Loss: 0.00019284656780655496, Val Loss: 0.00015733866894152015, L2 Loss: 0.02809575411204956, LInf Loss: 0.15732108294963837
Epoch 68/200, Train Loss: 0.00010780658667499665, Val Loss: 8.516458532540128e-05, L2 Loss: 0.02065920114983784, LInf Loss: 0.14964844346046446
Epoch 69/200, Train Loss: 7.169742581027094e-05, Val Loss: 6.0005213745171206e-05, L2 Loss: 0.01733306123319204, LInf Loss: 0.14298602372407912
Epoch 70/200, Train Loss: 5.462872401039931e-05, Val Loss: 4.846822266699746e-05, L2 Loss: 0.015573346012959035, LInf Loss: 0.13713556587696074
Epoch 71/200, Train Loss: 4.364249170976109e-05, Val Loss: 5.218417900323402e-05, L2 Loss: 0.016163769216220203, LInf Loss: 0.1341015714406967
Epoch 72/200, Train Loss: 3.770281720790081e-05, Val Loss: 4.10594876302639e-05, L2 Loss: 0.014326394710055536, LInf Loss: 0.13241100668907166
Epoch 73/200, Train Loss: 3.8337740297720304e-05, Val Loss: 6.466823440860026e-05, L2 Loss: 0.018003558254055314, LInf Loss: 0.13077571630477905
Epoch 74/200, Train Loss: 3.542864898918197e-05, Val Loss: 6.797484966227784e-05, L2 Loss: 0.018458878951996507, LInf Loss: 0.1302186968922615
Epoch 75/200, Train Loss: 3.189108996593859e-05, Val Loss: 5.1563553570304065e-05, L2 Loss: 0.016073894388755006, LInf Loss: 0.1303595319390297
Epoch 76/200, Train Loss: 3.284186896962638e-05, Val Loss: 2.5748817570274696e-05, L2 Loss: 0.011335654324048185, LInf Loss: 0.12878929764032365
Epoch 77/200, Train Loss: 2.738324666097469e-05, Val Loss: 3.320372088637669e-05, L2 Loss: 0.012888670508875539, LInf Loss: 0.1280130711197853
Epoch 78/200, Train Loss: 2.901120322803763e-05, Val Loss: 3.48188209318323e-05, L2 Loss: 0.01319997018564004, LInf Loss: 0.12725458443164825
Epoch 79/200, Train Loss: 2.2289964717856492e-05, Val Loss: 1.7083707025449257e-05, L2 Loss: 0.009212207402268502, LInf Loss: 0.12512736082077025
Epoch 80/200, Train Loss: 2.482516090367426e-05, Val Loss: 1.6331307706423103e-05, L2 Loss: 0.00901314610371151, LInf Loss: 0.12389542669057846
Epoch 81/200, Train Loss: 2.4908260629672442e-05, Val Loss: 2.1484094868355897e-05, L2 Loss: 0.010358065047142793, LInf Loss: 0.12279397577047348
Epoch 82/200, Train Loss: 1.9046368065573916e-05, Val Loss: 2.328120510355802e-05, L2 Loss: 0.010787285321379361, LInf Loss: 0.12104799449443818
Epoch 83/200, Train Loss: 2.585916064617777e-05, Val Loss: 1.3050328216195339e-05, L2 Loss: 0.008027396752643025, LInf Loss: 0.11919704586267471
Epoch 84/200, Train Loss: 1.641143633150932e-05, Val Loss: 1.4963501544116297e-05, L2 Loss: 0.008615683632120926, LInf Loss: 0.1180394333600998
Epoch 85/200, Train Loss: 1.8968754447996615e-05, Val Loss: 2.1580294087470976e-05, L2 Loss: 0.01037913943923383, LInf Loss: 0.11592781215906144
Epoch 86/200, Train Loss: 1.7256473699944764e-05, Val Loss: 2.0849772918154487e-05, L2 Loss: 0.010209303387457142, LInf Loss: 0.11549131244421006
Epoch 87/200, Train Loss: 1.5678637889777747e-05, Val Loss: 1.5174718791968189e-05, L2 Loss: 0.008696898312951252, LInf Loss: 0.11107084810733796
Epoch 88/200, Train Loss: 1.7919144402185338e-05, Val Loss: 1.1467879485280719e-05, L2 Loss: 0.007542084117225005, LInf Loss: 0.11166590452194214
Epoch 89/200, Train Loss: 1.4911991804638092e-05, Val Loss: 6.9452516618184745e-06, L2 Loss: 0.005832002344896647, LInf Loss: 0.10893062293529511
Epoch 90/200, Train Loss: 1.336054892590255e-05, Val Loss: 1.3836062062182463e-05, L2 Loss: 0.008308133052519855, LInf Loss: 0.11026649713516236
Epoch 91/200, Train Loss: 1.3185798713948316e-05, Val Loss: 5.8123338931181935e-06, L2 Loss: 0.005293956325478749, LInf Loss: 0.10481600016355515
Epoch 92/200, Train Loss: 1.2907500531582627e-05, Val Loss: 8.976366498245625e-06, L2 Loss: 0.00666594366271435, LInf Loss: 0.10333148181438447
Epoch 93/200, Train Loss: 9.942976161028128e-06, Val Loss: 1.2842614996770862e-05, L2 Loss: 0.008002615254919123, LInf Loss: 0.09996845334768295
Epoch 94/200, Train Loss: 1.2833727364522929e-05, Val Loss: 8.578589204262244e-06, L2 Loss: 0.0065225825244433246, LInf Loss: 0.0988810983300209
Epoch 95/200, Train Loss: 1.20728265528669e-05, Val Loss: 4.20202513851109e-06, L2 Loss: 0.0044948397317277925, LInf Loss: 0.09579076141119003
Epoch 96/200, Train Loss: 8.887639817203308e-06, Val Loss: 1.6294682427542285e-05, L2 Loss: 0.009020295413739528, LInf Loss: 0.0943820272386074
Epoch 97/200, Train Loss: 1.262069161157342e-05, Val Loss: 3.1345630195573906e-05, L2 Loss: 0.012537821715591941, LInf Loss: 0.09755629390478134
Epoch 98/200, Train Loss: 1.074587813832295e-05, Val Loss: 4.907383781755925e-06, L2 Loss: 0.004877365153363072, LInf Loss: 0.09053326696157456
Epoch 99/200, Train Loss: 7.751760797418683e-06, Val Loss: 1.7223565846506973e-05, L2 Loss: 0.009283192908927184, LInf Loss: 0.0870940300822258
Epoch 100/200, Train Loss: 9.414375822416333e-06, Val Loss: 7.073768956615822e-06, L2 Loss: 0.005921283570754317, LInf Loss: 0.08657575875520707
Epoch 101/200, Train Loss: 7.652560716451262e-06, Val Loss: 6.908386803843314e-06, L2 Loss: 0.00585024530407034, LInf Loss: 0.08395139366388321
Epoch 102/200, Train Loss: 7.896039995785032e-06, Val Loss: 2.9153303603379753e-06, L2 Loss: 0.003707344867945183, LInf Loss: 0.0809115508198738
Epoch 103/200, Train Loss: 7.567150714749005e-06, Val Loss: 9.87986817563069e-06, L2 Loss: 0.007019798275076014, LInf Loss: 0.0774800568819046
Epoch 104/200, Train Loss: 6.532398422223196e-06, Val Loss: 7.019606646281318e-06, L2 Loss: 0.005907068457855403, LInf Loss: 0.07515889331698418
Epoch 105/200, Train Loss: 5.428840340755414e-06, Val Loss: 4.21801575612335e-06, L2 Loss: 0.0045397340621500335, LInf Loss: 0.07365601927042008
Epoch 106/200, Train Loss: 5.958388567819383e-06, Val Loss: 4.026839906146051e-06, L2 Loss: 0.004436436483304794, LInf Loss: 0.07269163772463799
Epoch 107/200, Train Loss: 6.857963571178516e-06, Val Loss: 4.867193438258255e-06, L2 Loss: 0.004900989028572336, LInf Loss: 0.07145059168338776
Epoch 108/200, Train Loss: 6.246209160281069e-06, Val Loss: 5.6330404459004055e-06, L2 Loss: 0.005290680388881735, LInf Loss: 0.07019580826163292
Epoch 109/200, Train Loss: 5.279819821453202e-06, Val Loss: 3.2171097518585157e-06, L2 Loss: 0.003964618890019545, LInf Loss: 0.06705033600330353
Epoch 110/200, Train Loss: 5.161031360785273e-06, Val Loss: 6.29660196864279e-06, L2 Loss: 0.0055913293711593245, LInf Loss: 0.06322320312261581
Epoch 111/200, Train Loss: 5.895972020653062e-06, Val Loss: 1.2892284630652284e-05, L2 Loss: 0.008027142563911335, LInf Loss: 0.06460395708680153
Epoch 112/200, Train Loss: 3.314260824822668e-06, Val Loss: 6.168798390717711e-06, L2 Loss: 0.005540083840401905, LInf Loss: 0.06344509840011597
Epoch 113/200, Train Loss: 4.629199294186037e-06, Val Loss: 2.743322947935667e-06, L2 Loss: 0.0036561971774539837, LInf Loss: 0.06322227224707604
Epoch 114/200, Train Loss: 5.277072546050476e-06, Val Loss: 1.876481699582655e-05, L2 Loss: 0.009693498312843756, LInf Loss: 0.06354964151978493
Epoch 115/200, Train Loss: 4.487439929903303e-06, Val Loss: 1.302820546698058e-05, L2 Loss: 0.008078298326107852, LInf Loss: 0.06034357994794846
Epoch 116/200, Train Loss: 4.843572708637111e-06, Val Loss: 1.0951521780953043e-05, L2 Loss: 0.007407006321587908, LInf Loss: 0.06334379225969315
Epoch 117/200, Train Loss: 3.7790101134760333e-06, Val Loss: 1.1806604907178554e-05, L2 Loss: 0.007691086397712241, LInf Loss: 0.05983329087495804
Epoch 118/200, Train Loss: 4.239607755494035e-06, Val Loss: 5.297414099914022e-06, L2 Loss: 0.0051416826341483465, LInf Loss: 0.0599941386282444
Epoch 119/200, Train Loss: 3.483507246926365e-06, Val Loss: 4.877583696725196e-06, L2 Loss: 0.00493113303137852, LInf Loss: 0.0594346821308136
Epoch 120/200, Train Loss: 4.184678790011276e-06, Val Loss: 2.354349853703752e-06, L2 Loss: 0.0033826273388125423, LInf Loss: 0.056399054154753686
Epoch 121/200, Train Loss: 3.719208400525531e-06, Val Loss: 6.124249666754622e-06, L2 Loss: 0.00553044740934428, LInf Loss: 0.05474303908646107
Epoch 122/200, Train Loss: 3.819874734745099e-06, Val Loss: 3.947674404116697e-06, L2 Loss: 0.004430091516379042, LInf Loss: 0.05439352676272392
Epoch 123/200, Train Loss: 3.4287698474599894e-06, Val Loss: 3.2667605319147696e-06, L2 Loss: 0.004028440912175784, LInf Loss: 0.05366147801280022
Epoch 124/200, Train Loss: 4.031619727129509e-06, Val Loss: 2.7943428858634435e-06, L2 Loss: 0.0037135826118304995, LInf Loss: 0.052517127841711045
Epoch 125/200, Train Loss: 3.0539598378709343e-06, Val Loss: 6.517317879115581e-06, L2 Loss: 0.0057105282001532675, LInf Loss: 0.05134288713335991
Epoch 126/200, Train Loss: 2.9678694195922617e-06, Val Loss: 1.7910967812895251e-06, L2 Loss: 0.002963765022106133, LInf Loss: 0.050832720398902895
Epoch 127/200, Train Loss: 2.7690564269278183e-06, Val Loss: 3.918319544027327e-06, L2 Loss: 0.004420559438940597, LInf Loss: 0.05089094839990139
Epoch 128/200, Train Loss: 2.506717585788465e-06, Val Loss: 3.6201650436851196e-06, L2 Loss: 0.004250160187424513, LInf Loss: 0.05095174178481102
Epoch 129/200, Train Loss: 3.3275809204269537e-06, Val Loss: 2.563465336606896e-06, L2 Loss: 0.003568727050975343, LInf Loss: 0.04917277231812477
Epoch 130/200, Train Loss: 3.0106185977274434e-06, Val Loss: 2.5340071224491113e-05, L2 Loss: 0.0112764073537987, LInf Loss: 0.0516731396317482
Epoch 131/200, Train Loss: 2.738949360718834e-06, Val Loss: 1.2292324845475377e-06, L2 Loss: 0.002433582238721754, LInf Loss: 0.049737633094191554
Epoch 132/200, Train Loss: 2.113897130584519e-06, Val Loss: 2.424039494144381e-06, L2 Loss: 0.003471643444143395, LInf Loss: 0.04830234959721565
Epoch 133/200, Train Loss: 2.4603019033975217e-06, Val Loss: 2.372804574406473e-06, L2 Loss: 0.003430852796700135, LInf Loss: 0.04699134662747383
Epoch 134/200, Train Loss: 2.7078248342604637e-06, Val Loss: 9.316176729043946e-06, L2 Loss: 0.006835428245380198, LInf Loss: 0.0477060717344284
Epoch 135/200, Train Loss: 3.22546768330767e-06, Val Loss: 8.198990726668854e-06, L2 Loss: 0.006411848450826803, LInf Loss: 0.046002268269658086
Epoch 136/200, Train Loss: 2.1401258155151483e-06, Val Loss: 2.370479983255791e-06, L2 Loss: 0.003435611435578528, LInf Loss: 0.04563368260860443
Epoch 137/200, Train Loss: 2.139224547192953e-06, Val Loss: 5.705562498405925e-06, L2 Loss: 0.005347152960043831, LInf Loss: 0.04264816410839558
Epoch 138/200, Train Loss: 1.786822348606165e-06, Val Loss: 6.940907060197787e-06, L2 Loss: 0.0058990944061727175, LInf Loss: 0.04358716800808907
Epoch 139/200, Train Loss: 2.2727404933675645e-06, Val Loss: 3.07787698602624e-06, L2 Loss: 0.003922316454161403, LInf Loss: 0.04208741396665573
Epoch 140/200, Train Loss: 2.1668657527129652e-06, Val Loss: 1.178171371066128e-05, L2 Loss: 0.007688706728343628, LInf Loss: 0.04230641543865204
Epoch 141/200, Train Loss: 2.5906532184194477e-06, Val Loss: 1.4651496417172892e-06, L2 Loss: 0.00267710742651833, LInf Loss: 0.04174919754266739
Epoch 142/200, Train Loss: 1.9712215745926185e-06, Val Loss: 2.780841764433717e-06, L2 Loss: 0.0037275113238280522, LInf Loss: 0.04004824198782444
Epoch 143/200, Train Loss: 1.6082743579204362e-06, Val Loss: 2.8648448096646463e-06, L2 Loss: 0.0037820674388609294, LInf Loss: 0.037496488243341446
Epoch 144/200, Train Loss: 2.1262944289901497e-06, Val Loss: 5.12193266331451e-06, L2 Loss: 0.00506605694205327, LInf Loss: 0.039557474702596664
Epoch 145/200, Train Loss: 2.167171020346359e-06, Val Loss: 5.20149027579464e-06, L2 Loss: 0.005105724745300652, LInf Loss: 0.0385138663649559
Epoch 146/200, Train Loss: 1.90337004084995e-06, Val Loss: 3.010303535120329e-06, L2 Loss: 0.00388009979300303, LInf Loss: 0.03657972015440464
Epoch 147/200, Train Loss: 1.7540797369974826e-06, Val Loss: 7.576980442536297e-07, L2 Loss: 0.0019155155959194661, LInf Loss: 0.03546523831784725
Epoch 148/200, Train Loss: 1.9400347841269648e-06, Val Loss: 2.3690542366239244e-06, L2 Loss: 0.0034404329404439005, LInf Loss: 0.03566447213292122
Epoch 149/200, Train Loss: 1.5030985237274307e-06, Val Loss: 2.228404123343353e-06, L2 Loss: 0.003338391981479473, LInf Loss: 0.033801359087228776
Epoch 150/200, Train Loss: 1.7102428333259923e-06, Val Loss: 5.082739644421963e-06, L2 Loss: 0.005048632752405454, LInf Loss: 0.03428385481238365
Epoch 151/200, Train Loss: 1.7740269760224691e-06, Val Loss: 1.4375451291925856e-06, L2 Loss: 0.0026729920792253055, LInf Loss: 0.0329902195930481
Epoch 152/200, Train Loss: 2.9028416383880538e-06, Val Loss: 6.606609298614785e-05, L2 Loss: 0.01821039916484557, LInf Loss: 0.05102750934660435
Epoch 153/200, Train Loss: 0.001177494747316814, Val Loss: 7.281225160113536e-05, L2 Loss: 0.019108931509715932, LInf Loss: 0.1362275317311287
Epoch 154/200, Train Loss: 2.8914292379340622e-05, Val Loss: 1.8016950125456788e-05, L2 Loss: 0.009467157916313513, LInf Loss: 0.11203739047050476
Epoch 155/200, Train Loss: 1.3349291002668906e-05, Val Loss: 1.3362730205699336e-05, L2 Loss: 0.0081533696646793, LInf Loss: 0.10435136079788208
Epoch 156/200, Train Loss: 9.745554693836311e-06, Val Loss: 9.137846591329435e-06, L2 Loss: 0.006700596342814644, LInf Loss: 0.1012659028172493
Epoch 157/200, Train Loss: 7.70672682165241e-06, Val Loss: 7.398024672511383e-06, L2 Loss: 0.006004536632455726, LInf Loss: 0.09455484852194786
Epoch 158/200, Train Loss: 6.529130650960724e-06, Val Loss: 6.129726416475023e-06, L2 Loss: 0.005454946674712715, LInf Loss: 0.0936416357755661
Epoch 159/200, Train Loss: 5.529390240326392e-06, Val Loss: 5.686533413609141e-06, L2 Loss: 0.005280873154940671, LInf Loss: 0.08879708677530289
Epoch 160/200, Train Loss: 4.880011792920413e-06, Val Loss: 5.083220230517327e-06, L2 Loss: 0.004960209712123685, LInf Loss: 0.08565000176429749
Epoch 161/200, Train Loss: 4.395606330263036e-06, Val Loss: 9.67540860074223e-06, L2 Loss: 0.006943443899285304, LInf Loss: 0.08139426827430725
Epoch 162/200, Train Loss: 3.6989980748103336e-06, Val Loss: 6.56659911328461e-06, L2 Loss: 0.005707699482688232, LInf Loss: 0.08050647929310799
Epoch 163/200, Train Loss: 3.7165246089898573e-06, Val Loss: 4.131714040340739e-06, L2 Loss: 0.004478084439167538, LInf Loss: 0.07900717660784722
Epoch 164/200, Train Loss: 3.092740604984101e-06, Val Loss: 6.144855196907884e-06, L2 Loss: 0.005514657464745926, LInf Loss: 0.07690034538507462
Epoch 165/200, Train Loss: 4.354109168502873e-06, Val Loss: 1.144142321209074e-05, L2 Loss: 0.007559297080142623, LInf Loss: 0.0753299605846405
Epoch 166/200, Train Loss: 6.179129288739205e-06, Val Loss: 6.172431903905818e-06, L2 Loss: 0.005531166798914483, LInf Loss: 0.0755143143236637
Epoch 167/200, Train Loss: 5.295724569691629e-06, Val Loss: 9.060344218596584e-06, L2 Loss: 0.006725730821344482, LInf Loss: 0.07423000812530517
Epoch 168/200, Train Loss: 6.203574805567769e-06, Val Loss: 3.7968189599268955e-06, L2 Loss: 0.004305614706588117, LInf Loss: 0.07105162873864174
Epoch 169/200, Train Loss: 5.906210523107802e-06, Val Loss: 3.0870477075950476e-06, L2 Loss: 0.0038764438423858462, LInf Loss: 0.07075076296925545
Epoch 170/200, Train Loss: 5.821208368388398e-06, Val Loss: 4.474249917620909e-06, L2 Loss: 0.004697437025096319, LInf Loss: 0.0702246753871441
Epoch 171/200, Train Loss: 5.288308107651574e-06, Val Loss: 2.2225994434847962e-05, L2 Loss: 0.010558113183993882, LInf Loss: 0.06809313148260117
Epoch 172/200, Train Loss: 5.566958225244889e-06, Val Loss: 4.185578272881685e-06, L2 Loss: 0.004545008077080235, LInf Loss: 0.06732292726635933
Epoch 173/200, Train Loss: 4.7068482950862745e-06, Val Loss: 1.8462386215105653e-05, L2 Loss: 0.009622942146256476, LInf Loss: 0.06669254750013351
Epoch 174/200, Train Loss: 5.3875177434292705e-06, Val Loss: 2.4900469270505708e-06, L2 Loss: 0.003471475832616279, LInf Loss: 0.06484676614403724
